Date,Description,Amount,Category
,Account Statement · January – December 2024,2024.0,Others
,Account Number IN04 0001 2345 6789,6789.0,Others
,IFSC Code SBIN0001234,1234.0,Others
01 Jan,Statement Period 01 Jan 2024 – 31 Dec 2024,2024.0,Others
,"Opening Balance Rs. 45,200.00",45200.0,Others
,"Total Credits (+) Rs. 6,109,571.81",6109571.81,Others
,"Total Debits (–) Rs. 3,163,314.89",3163314.89,Others
,"Closing Balance Rs. 2,991,456.92",2991456.92,Others
03 Jan,"03 Jan UPI Transfer Received 7,407.13 52,607.13",52607.13,Bank Transfer
03 Jan,"03 Jan Bill Payment - Electricity 14,092.18 38,514.95",38514.95,Utilities
04 Jan,"04 Jan Interest Credit 5,137.91 43,652.86",43652.86,Others
04 Jan,"04 Jan Grocery - BigBasket 444.88 43,207.98",43207.98,Others
04 Jan,"04 Jan Medical - Pharmacy 9,121.42 34,086.56",34086.56,Others
05 Jan,"05 Jan Salary Credit 14,270.44 48,357.00",48357.0,Income
06 Jan,"06 Jan Netflix Subscription 5,002.36 43,354.64",43354.64,Others
07 Jan,"07 Jan Bill Payment - Electricity 4,444.56 38,910.08",38910.08,Utilities
08 Jan,"08 Jan Rental Income 42,450.97 81,361.05",81361.05,Rent
08 Jan,"08 Jan FD Maturity 2,650.80 84,011.85",84011.85,Others
08 Jan,"08 Jan Fuel - HPCL 19,465.00 64,546.85",64546.85,Travel
10 Jan,"10 Jan Mobile Recharge 12,015.82 52,531.03",52531.03,Utilities
10 Jan,"10 Jan ATM Withdrawal 11,133.81 41,397.22",41397.22,Others
11 Jan,"11 Jan Swiggy Order 12,238.09 29,159.13",29159.13,Food
13 Jan,"13 Jan Refund - Flipkart 31,966.38 61,125.51",61125.51,Shopping
13 Jan,"13 Jan Bonus Credit 18,085.90 79,211.41",79211.41,Others
13 Jan,"13 Jan Bonus Credit 46,864.40 126,075.81",126075.81,Others
15 Jan,"15 Jan Flight Ticket - IndiGo 4,971.74 121,104.07",121104.07,Others
16 Jan,"16 Jan Insurance Claim 46,306.86 167,410.93",167410.93,Others
16 Jan,"16 Jan ATM Withdrawal 13,723.82 153,687.11",153687.11,Others
16 Jan,"16 Jan Refund - Flipkart 2,088.96 155,776.07",155776.07,Shopping
17 Jan,"17 Jan Rental Income 10,943.65 166,719.72",166719.72,Rent
17 Jan,"17 Jan Hotel Booking 6,362.09 160,357.63",160357.63,Others
17 Jan,"17 Jan FD Maturity 45,770.11 206,127.74",206127.74,Others
18 Jan,"18 Jan Freelance Payment 12,708.06 218,835.80",218835.8,Others
19 Jan,"19 Jan Fuel - HPCL 8,625.83 210,209.97",210209.97,Travel
19 Jan,"19 Jan NEFT Inward 49,867.63 260,077.60",260077.6,Bank Transfer
20 Jan,"20 Jan UPI Transfer Received 2,832.26 262,909.86",262909.86,Bank Transfer
20 Jan,"20 Jan Bonus Credit 8,419.11 271,328.97",271328.97,Others
20 Jan,"20 Jan Dividend Credit 3,644.62 274,973.59",274973.59,Others
21 Jan,"21 Jan UPI Payment 19,424.46 255,549.13",255549.13,Bank Transfer
21 Jan,"21 Jan EMI Debit 2,379.58 253,169.55",253169.55,Others
21 Jan,"21 Jan Insurance Premium 6,869.49 246,300.06",246300.06,Others
22 Jan,"22 Jan Insurance Claim 660.64 246,960.70",246960.7,Others
22 Jan,"22 Jan Amazon Purchase 5,341.44 241,619.26",241619.26,Shopping
22 Jan,"22 Jan Insurance Premium 2,217.58 239,401.68",239401.68,Others
23 Jan,"23 Jan Freelance Payment 38,244.28 277,645.96",277645.96,Others
25 Jan,"25 Jan Mobile Recharge 2,326.17 275,319.79",275319.79,Utilities
25 Jan,"25 Jan Insurance Premium 16,650.14 258,669.65",258669.65,Others
26 Jan,"26 Jan UPI Transfer Received 43,961.48 302,631.13",302631.13,Bank Transfer
28 Jan,"28 Jan Netflix Subscription 19,561.89 283,069.24",283069.24,Others
28 Jan,"28 Jan Freelance Payment 24,026.48 307,095.72",307095.72,Others
28 Jan,"28 Jan Rental Income 26,619.85 333,715.57",333715.57,Rent
29 Jan,"29 Jan Grocery - BigBasket 18,585.38 315,130.19",315130.19,Others
29 Jan,"29 Jan Mobile Recharge 8,039.95 307,090.24",307090.24,Utilities
29 Jan,"29 Jan UPI Transfer Received 26,120.00 333,210.24",333210.24,Bank Transfer
30 Jan,"30 Jan Rental Income 17,235.24 350,445.48",350445.48,Rent
31 Jan,"31 Jan ATM Withdrawal 243.10 350,202.38",350202.38,Others
01 Feb,"01 Feb Refund - Flipkart 2,054.94 352,257.32",352257.32,Shopping
03 Feb,"03 Feb Freelance Payment 24,528.02 376,785.34",376785.34,Others
04 Feb,"04 Feb Hotel Booking 17,659.42 359,125.92",359125.92,Others
05 Feb,"05 Feb Grocery - BigBasket 16,169.19 342,956.73",342956.73,Others
08 Feb,"08 Feb Insurance Claim 20,849.56 363,806.29",363806.29,Others
08 Feb,"08 Feb Bonus Credit 32,846.05 396,652.34",396652.34,Others
08 Feb,"08 Feb Refund - Flipkart 20,429.75 417,082.09",417082.09,Shopping
